USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.1 194048  7228 ?        Ss   May10   0:50 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root         2  0.0  0.0      0     0 ?        S    May10   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    May10   0:00 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S<   May10   0:00 [kworker/0:0H]
root         7  0.0  0.0      0     0 ?        S    May10   0:00 [migration/0]
root         8  0.0  0.0      0     0 ?        S    May10   0:00 [rcu_bh]
root         9  0.0  0.0      0     0 ?        S    May10   1:01 [rcu_sched]
root        10  0.0  0.0      0     0 ?        S<   May10   0:00 [lru-add-drain]
root        11  0.0  0.0      0     0 ?        S    May10   0:02 [watchdog/0]
root        12  0.0  0.0      0     0 ?        S    May10   0:02 [watchdog/1]
root        13  0.0  0.0      0     0 ?        S    May10   0:00 [migration/1]
root        14  0.0  0.0      0     0 ?        S    May10   0:00 [ksoftirqd/1]
root        16  0.0  0.0      0     0 ?        S<   May10   0:00 [kworker/1:0H]
root        17  0.0  0.0      0     0 ?        S    May10   0:02 [watchdog/2]
root        18  0.0  0.0      0     0 ?        S    May10   0:00 [migration/2]
root        19  0.0  0.0      0     0 ?        S    May10   0:00 [ksoftirqd/2]
root        21  0.0  0.0      0     0 ?        S<   May10   0:00 [kworker/2:0H]
root        22  0.0  0.0      0     0 ?        S    May10   0:02 [watchdog/3]
root        23  0.0  0.0      0     0 ?        S    May10   0:00 [migration/3]
root        24  0.0  0.0      0     0 ?        S    May10   0:02 [ksoftirqd/3]
root        26  0.0  0.0      0     0 ?        S<   May10   0:00 [kworker/3:0H]
root        27  0.0  0.0      0     0 ?        S    May10   0:01 [watchdog/4]
root        28  0.0  0.0      0     0 ?        S    May10   0:00 [migration/4]
root        29  0.0  0.0      0     0 ?        S    May10   0:00 [ksoftirqd/4]
root        31  0.0  0.0      0     0 ?        S<   May10   0:00 [kworker/4:0H]
root        32  0.0  0.0      0     0 ?        S    May10   0:01 [watchdog/5]
root        33  0.0  0.0      0     0 ?        S    May10   0:00 [migration/5]
root        34  0.0  0.0      0     0 ?        S    May10   0:00 [ksoftirqd/5]
root        36  0.0  0.0      0     0 ?        S<   May10   0:00 [kworker/5:0H]
root        37  0.0  0.0      0     0 ?        S    May10   0:02 [watchdog/6]
root        38  0.0  0.0      0     0 ?        S    May10   0:00 [migration/6]
root        39  0.0  0.0      0     0 ?        S    May10   0:00 [ksoftirqd/6]
